 train 1 lr 1.00e-05  eshape 7.026277e-01 (1.4214e-01)
 train 2 lr 1.00e-05  eshape 5.054315e-01 (5.2730e-02)
 train 3 lr 1.00e-05  eshape 4.328726e-01 (5.3515e-02)
 train 4 lr 1.00e-05  eshape 3.075717e-01 (6.0918e-02)
 train 5 lr 1.00e-05  eshape 1.583295e-01 (5.1690e-02)
 train 6 lr 1.00e-05  eshape 5.939094e-02 (2.2890e-02)
 train 7 lr 1.00e-05  eshape 4.970642e-02 (8.1742e-03)
 train 8 lr 1.00e-05  eshape 6.342943e-02 (6.3213e-03)
 train 9 lr 1.00e-05  eshape 8.106496e-02 (1.0271e-02)
 train 10 lr 1.00e-05  eshape 6.997889e-02 (1.2171e-02)
 train 11 lr 1.00e-05  eshape 5.290262e-02 (6.0723e-03)
 train 12 lr 1.00e-05  eshape 4.874111e-02 (5.7813e-03)
 train 13 lr 1.00e-05  eshape 4.618746e-02 (5.7341e-03)
 train 14 lr 1.00e-05  eshape 4.410765e-02 (5.6560e-03)
 train 15 lr 1.00e-05  eshape 4.257773e-02 (5.4464e-03)
 train 16 lr 1.00e-05  eshape 4.166744e-02 (5.2872e-03)
 train 17 lr 1.00e-05  eshape 4.076368e-02 (5.1453e-03)
 train 18 lr 1.00e-05  eshape 3.993674e-02 (5.1266e-03)
 train 19 lr 1.00e-05  eshape 3.916987e-02 (5.0964e-03)
 train 20 lr 1.00e-05  eshape 3.852666e-02 (5.0055e-03)
 train 21 lr 1.00e-05  eshape 3.778710e-02 (5.0123e-03)
 train 22 lr 1.00e-05  eshape 3.726408e-02 (4.9705e-03)
 train 23 lr 1.00e-05  eshape 3.668621e-02 (4.9411e-03)
 train 24 lr 1.00e-05  eshape 3.633318e-02 (4.9356e-03)
 train 25 lr 1.00e-05  eshape 3.581835e-02 (4.8855e-03)
 train 26 lr 1.00e-05  eshape 3.551570e-02 (4.8945e-03)
 train 27 lr 1.00e-05  eshape 3.503995e-02 (4.8630e-03)
