 train 1 lr 1.00e-05  pshape 6.909443e+02 (1.4793e+02)
 train 2 lr 1.00e-05  pshape 6.167039e+02 (3.6858e+01)
 train 3 lr 1.00e-05  pshape 5.914575e+02 (3.5981e+01)
 train 4 lr 1.00e-05  pshape 5.629476e+02 (3.5124e+01)
 train 5 lr 1.00e-05  pshape 5.331292e+02 (3.4776e+01)
 train 6 lr 1.00e-05  pshape 4.964421e+02 (3.5627e+01)
 train 7 lr 1.00e-05  pshape 4.515662e+02 (3.6082e+01)
 train 8 lr 1.00e-05  pshape 4.155301e+02 (3.6190e+01)
 train 9 lr 1.00e-05  pshape 3.764682e+02 (3.9878e+01)
 train 10 lr 1.00e-05  pshape 3.104344e+02 (3.5784e+01)
 train 11 lr 1.00e-05  pshape 2.780068e+02 (3.2105e+01)
 train 12 lr 1.00e-05  pshape 2.605784e+02 (3.0989e+01)
 train 13 lr 1.00e-05  pshape 2.481918e+02 (2.9985e+01)
 train 14 lr 1.00e-05  pshape 2.380549e+02 (2.9663e+01)
 train 15 lr 1.00e-05  pshape 2.298921e+02 (2.9188e+01)
 train 16 lr 1.00e-05  pshape 2.224606e+02 (2.8772e+01)
 train 17 lr 1.00e-05  pshape 2.163959e+02 (2.8419e+01)
 train 18 lr 1.00e-05  pshape 2.112866e+02 (2.7981e+01)
 train 19 lr 1.00e-05  pshape 2.068141e+02 (2.7723e+01)
 train 20 lr 1.00e-05  pshape 2.029338e+02 (2.7562e+01)
 train 21 lr 1.00e-05  pshape 1.994530e+02 (2.7288e+01)
 train 22 lr 1.00e-05  pshape 1.964341e+02 (2.7014e+01)
 train 23 lr 1.00e-05  pshape 1.936568e+02 (2.6734e+01)
 train 24 lr 1.00e-05  pshape 1.913641e+02 (2.6673e+01)
 train 25 lr 1.00e-05  pshape 1.891106e+02 (2.6875e+01)
 train 26 lr 1.00e-05  pshape 1.871060e+02 (2.6534e+01)
 train 27 lr 1.00e-05  pshape 1.853782e+02 (2.6235e+01)
